,pricing,size,address,link
145,"$1,200,000","2 bds1 ba1,179 sqft - Condo for sale","176 Johnson St APT 7E, Brooklyn, NY 11201",https://www.zillow.com/homedetails/176-Johnson-St-APT-7E-Brooklyn-NY-11201/64611011_zpid/
146,"$1,399,000","4 bds3 ba2,415 sqft - Multi-family home for sale","1568 81st St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/1568-81st-St-Brooklyn-NY-11228/30709467_zpid/
147,"$1,450,000","3 bds2 ba1,004 sqft - Condo for sale","261 Union Ave UNIT 6, Brooklyn, NY 11211",https://www.zillow.com/homedetails/261-Union-Ave-UNIT-6-Brooklyn-NY-11211/2078779768_zpid/
148,"$1,200,000",1 bd1 ba925 sqft - Condo for sale,"55 7th Ave #3, Brooklyn, NY 11217",https://www.zillow.com/homedetails/55-7th-Ave-3-Brooklyn-NY-11217/245055203_zpid/
149,"$499,000",3 bds2 ba-- sqft - House for sale,"1065 Hendrix Street, East New York, NY 11207",https://www.zillow.com/homedetails/1065-Hendrix-St-Brooklyn-NY-11207/30648806_zpid/
150,"$1,419,000","3 bds3 ba2,900 sqft - House for sale","2712 Arkansas Dr, Brooklyn, NY 11234",https://www.zillow.com/homedetails/2712-Arkansas-Dr-Brooklyn-NY-11234/30787729_zpid/
151,"$910,000","3 bds2 ba1,100 sqft - Condo for sale","115 Ashland Pl APT 14D, Brooklyn, NY 11201",https://www.zillow.com/homedetails/115-Ashland-Pl-APT-14D-Brooklyn-NY-11201/2074085649_zpid/
152,"$996,000",1 bd1 ba712 sqft - Condo for sale,"429 Kent Ave #328, Brooklyn, NY 11249",https://www.zillow.com/homedetails/429-Kent-Ave-328-Brooklyn-NY-11249/216109255_zpid/
153,"$895,000","3 bds2 ba1,332 sqft - House for sale","1836 W 4th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/1836-W-4th-St-Brooklyn-NY-11223/30723015_zpid/
154,"$1,499,000","3 bds3 ba2,000 sqft - House for sale","1821 Avenue V, Brooklyn, NY 11229",https://www.zillow.com/homedetails/1821-Avenue-V-Brooklyn-NY-11229/30744597_zpid/
155,"$1,195,000","4 bds3 ba2,460 sqft - House for sale","271 92nd St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/271-92nd-St-Brooklyn-NY-11209/30700911_zpid/
